page_content,page_time
已到最后,2017010122
"1   时间：8点-10点
　　26岁的汪梦琪每天都陷于纠结——早上是吃一碗蔡林记的热干面，是买一份老通城的三鲜豆皮，还是默默地叫一份麦当劳简餐。
　　武汉，荆扬相会、九省通衢的江汉大都，单单一个“过早”（吃早饭）便若繁花拥簇，气势万千。可对于淘宝局部模特汪梦琪而言，热干面好吃，但芝麻酱糊了嘴，便得补妆；买豆皮的长队太长，看了都头疼——最后基本还是在麦当劳买个汉堡。

　　和大多数淘宝模特一样，汪梦琪的职业生涯早早便开始，那时她还在湖北工业大学艺术设计专业读书。
　　和大多数模特又不一样，而今汪梦琪做的是局部模特，主要是给淘宝商家做脚模。“不当网红，不做直播，不接陌生商户的单”，这是这位身材娇小、腿型曼妙的武汉姑娘给自己订的三条规矩。
　　今天难得早起，梳妆停当，她下楼买了份5块钱的热干面，惬意吃完，找到自己的那辆白色奥迪车——这辆车是她前年年初买的，刚刚跑了2万公里。上车第一件事，补妆。
　　二  时间：10点到16点
　　自出道以来，汪梦琪便和摄影师小白开始合作了——节奏基本是每周工作6天，每月两次出省拍摄，每年至少5次出国拍摄。
　　今天的任务是在室内拍鞋子。客户一共寄过来100双鞋子，两天半时间拍完。
　　小白端起相机，汪梦琪随即进入专业模式，第一套10个连贯动作，微笑、伸腿、抚脸……3秒钟后，自然衍生到第二套动作，挺胸、远望、屈腿……“我只要听到她快门响了，就会换动作，已经不用她说了。”汪梦琪笑着说，“条件反射？绝对是。”
　　两人一口气拍了4个小时。期间小白吃了碗泡面，汪梦琪换了5套衣服，喝了两次水，没有休息。2月份的武汉依旧有料峭春寒，为了突出效果，汪梦琪甚至换上了衬衣和裙子。“这个算什么冷？有一回下雪天，我们拍凉鞋，得穿夏装，那才叫冻成狗。”
　　辛苦是自然，好在收入很不错。

　　这回淘宝商家给的拍摄价格是一双鞋200元，一天拍40双就是8000元。汪梦琪说她最多一天可以拍100件单品。扣除摄影师费用，算下来她每天收入在四千到一万元，在武汉，这基本属于一个白领阶层的月薪，换算成年薪，汪梦琪每年基本可在武汉买一套90方的房子——所谓“金莲”，莫过于此。
　　“开销也很大，买化妆品每年就要买10万块钱上下。女孩子会囤货的呀，趁打折，一样货就得买个几千块钱，囤着慢慢用。”汪梦琪说，“以前都是乱花钱，现在懂事一些了，前年年初买了一辆车，年末按揭在汉口买了一套房……”
　　3  时间：17点-20点
　　最后一组照片要求躺在地上拍摄，汪梦琪站起来，拍拍身上的灰尘，喊：“收工啦”。
　　18时，汪梦琪驾车回家，做脚模6年，回家第一件事就是卸妆，喝水，给脚做保养。
　　泡脚，擦干，涂上乳液。虽然先后使用过一些品牌的足部护肤品，但她还是相信一款国产的身体乳——所有的保养动作汪梦琪都是小心翼翼，看起来就像举行一个神秘的宗教仪式。

　　对于脚的保护，汪梦琪也有“三不”原则：不穿高跟鞋，脚会变型；不穿凉鞋，脚会变黑；不参加力量型运动，腿部肌肉会走型。
　　像大部分这个年龄段的女生一样，汪梦琪常会在下班后约男朋友吃饭。不过她不太逛街，尤其是逛鞋店，“都是我拍过的款式，有什么好看的？”说这话时，汪梦琪歪着头，傲娇万分。
　　对于未来，汪梦琪说：“既然从事了这个行业，就要坚持下……拍到生宝宝为止吧。之后想成立一个工作室，也想开一个实体店……”
　　4   时间：20-22时
　　为什么你能成为一个日薪万元的脚模？
　　这样的问题让汪梦琪一度无语。她想了半天，“卖油翁是唯手熟尔，我大概是唯‘脚’熟尔。”
　　真是如此？未必。
　　做一个成功的脚模，首先得是祖师爷赏饭吃——一双没有太多瑕疵的脚是先天条件。“不过这个条件很多人都可以达到”，汪梦琪说。
　　其次，形体。汪梦琪说，如今已经很少有单纯的脚部拍摄，即便是指甲油、袜子、脚链等物品的拍摄，也要看模特的整体搭配，而这些都是模特的克己之道，“像我从不在睡前喝牛奶，因为一喝就胖；每周再累也要练瑜伽，这样才能保持腿部线条会柔美。”
　　第三，专业。一双鞋到手，高跟鞋、帆布鞋、拖鞋，性感风、学院风、店主风……脑子里有个资料库，这双鞋子搭配什么样的衣服，应该用什么样的动作和表情，甚至摄影灯光和场景，都有不同的要求。
　　“比如拍长靴，动作幅度就不能太大，要缓和，表情、神态、服饰不能过于活泼……这些没有老师可以教，只有自己去学，看各种视频，体会各种动作。”汪梦琪突然想起了什么：“这些年来，我每天卸妆时都要花半个小时看各种模特视频，学各种表情动作。”
　　第四，足够的情商。模特是一份工作，但也是一个沟通岗位，“我经常和客户、摄影师做前后期的沟通，”汪梦琪说，“几乎每一个老客户，我都研究过他们的产品属性和特点；合作过的摄影师，我也知道他们的拍摄习惯和风格。现在10单（产品拍摄）里面有7单是老客户，产品熟悉、摄影师熟悉，拍起来就水到渠成。”
　　和综艺访谈节目一样，最后一个问题终不能免俗，记者问：“从业6年，最想感谢的人是谁？”
　　汪梦琪大笑：“马云马爸爸！如果不是‘淘女郎’项目，我不可能有机会从事这个行业。”
　　“如果当面见到他，你想说什么？”
　　“哈哈哈，我估计我激动到结巴，词穷啦。”
　　局部的工作，完整的美好，武汉的初春艳阳里，25岁的姑娘无比明媚。
责任编辑：张莘",201702211342
"大佛
　　在宜宾市屏山县龙华古镇海拔891米的山峰上，一尊神秘的大佛，吸引了海内外众多游客的目光。自2001年3月，阿富汗巴米扬两尊高53米和35米的站立佛像被炮火无情摧毁后，这尊32米高的八仙山大佛，就从世界第三立佛变成了世界第一立佛。
　　八仙山大佛，位于龙华古镇西面的八仙山上。八仙山海拔891米，山峰像一道高耸入云的屏障，常年白云缠绕，仿若仙境。山顶可观云海日出，远眺老君山、近观五指山。
　　游人登山到达山顶处，可见用深浮雕手法凿成的释迦牟尼立像一尊，大佛面向东方、雄伟庄严。《中国大百科全书》开列的世界十大佛像，八仙山大佛榜上有名。但问及何时兴建，何人雕造，均无人知晓。
　　除了“身世”不详，八仙山大佛，还有着与全国各地的佛像迥异而独特的造型。
　　一是没有唐代佛像头部的高肉髻，水滴状的耳垂，也就是通常所说的两耳垂肩，这尊佛像是典型的招风耳；二是它的肩上没有哲那环和搭钩；三是颈上没有三道颈线，头像直接放在肩上；四是戴手镯，按照佛教的仪轨，佛像不戴手镯，只有菩萨才戴有手镯。因此，专家们推断，造像者大概有他自己独特的想法：把观音菩萨的手镯移到了大佛手腕上；另外，佛像腰上还系一短裙，犹如妇女做饭时的围裙一般，这也是与众不同之处。
　　综合上述，部分专家认为八仙山立佛显得不伦不类：从整体上来说，它是一尊释迦牟尼或者接引佛，但细细一看，却既不像佛像，也不像菩萨。不过也正因为这样，它才具有世界唯一性，由此，也留下千古待解之谜。
　　佛像独特造型有何寓意、雕造者又是何人？这其中玄机都等待人们去解答。
责任编辑：向昌明 SN123",201702211032
"[环球网综合报道]据英国《每日邮报》2月19日报道，近日，美国小伙尼克•卢茨（Nick Lutz）因对收到的前女友的道歉信进行评分，指出其中的错误并写下评语而在网络走红。尼克将点评后的道歉信分享至社交平台“推特”，目前该“推文”已被点赞27.4万多次，被转发9万多次。



　　从尼克分享的照片中可以看到，作为最终的报复，他给这份看似低声下气的道歉信打了61分，仅是刚及格的水平。除此之外，尼克还写下了评语，不仅批评了前女友糟糕的书写，还指出了信中自相矛盾的观点。
　　尼克在道歉信的末尾总结道：“介绍太长，结论太短。给出的假设虽然有力却没有东西支撑。细节很重要啊。”他还写道，“若是想被信任，那么请给值得被信任的理由；若出轨不存在，那么犯下的错是什么？”据悉，他随后将点评过的这封信又寄给了前女友。
　　许多网友都赶到尼克的“推特”下围观，只为指出这份道歉信更多的错误。
Save
Save
责任编辑：吴颜",201702210759
"[环球网综合报道] 据英国《每日邮报》2月19日报道，近日，一名俄罗斯男子在俄罗斯南部别洛库里哈（Belokurikha）游泳时遭到2只天鹅袭击，男子挣扎一番后狼狈逃出，所幸并未受伤。

视频截图

　　视频中，男子正一脸享受地在清澈的湖中游泳。突然，一只白天鹅从湖水另一面扑过来，对着男子就是一顿猛扑。随后另一只天鹅赶到，也扇着翅膀狠狠拍打游泳的男子。男子狼狈不堪，挣扎着逃出天鹅们的攻击范围。
　　据悉，天鹅本就是带有攻击性的动物，这种天性在春天尤为明显：它们会攻击一切试图靠近自己巢穴的生物。
责任编辑：吴颜",201702210755
"兰州市外国语学校青年生物教师高飞，以故事《海底城的国王》为内容，自学激光切割技术，用木头做出了一本解谜机关书。　杨艳敏　摄
　　中新网兰州2月24日电 （记者 崔琳 高莹）兰州市外国语学校青年生物教师高飞，以故事《海底城的国王》为内容，自学激光切割技术，用木头做出了一本解谜机关书。
　　记者看到，该木质书籍每一页都厚厚的，共有五页。其内部是由机械光圈、木质齿轮、迷宫等组成的别致机关，这些机关将书页锁住。
　　高飞近日接受中新网记者专访透露，他用隐藏的故事情节为读者提示解锁的密码，需要读者细心去发现其中玄机，从而解开机关翻到下一页。
　　谈及制作解谜书的初衷，高飞说：“去年9月份，我无意了解到国外有人设计了一本名为‘天书’木质解谜书，号称历史上最为复杂的书，非常难于破解。我不信这个邪，虽然自己完全没有接触过这些领域，但凡事没有不可能，别人能做我们也能做。”高飞看到相关图片后觉得不但能参透其中奥秘，而且完全可以制作出来，便萌生制作的念头。
　　高飞坦言，制作整本书的难点在于设计内部机关的机械结构，以及如何把提示线索融入故事当中。“比如：第一页讲明了故事在哪儿发生，主人公都有谁，情节显示他们准备去探索一个沉没的海底城市，里面有一座宫殿，这就与第二页的迷宫联系在了一起，只有走出整个迷宫才能翻到下一页。”高飞举例说。
　　为了设计出机械机关，高飞用一周时间自学了CAD绘图技术，还自费购买了一台激光机。随后，他用电脑绘出设计图纸，然后去刻印、安装、上色。刻印的过程中，高飞发现木板的厚度、材质都会影响机关的灵活程度，因此他反复试验做到最佳。
　　高飞认为，解谜书可以提升读者对于阅读的兴趣，通过动手动脑去感受故事赋予人们的哲理，很吸引人。这次，他模拟了外国设计师作品的封面，完全自己设计了每一页的内部机械机关。今后，他将改良设计，将举世闻名的莫高窟等中华元素作为装饰和故事内容，让读者通过这样的阅读，了解甘肃文化、中国文化。
　　截至目前，醉心于发明创造的中学教师高飞先后复原了诸葛连弩、北宋神臂弓、指南舟等物品共计数十件，他表示，在这个“大众创业、万众创新”的时代，自己要给周围人做一个榜样，桃李不言下自成蹊。（完）
责任编辑：吴颜",201702241323
"中新网2月23日电 据“中央社”报道，印度尼西亚发生一段让人称奇的罗曼史，一名28岁的修车工人接到打错的来电，却在热线后与对方陷入爱河，虽然见面后发现女子已是82岁的阿妈，但两人仍坚决互许终身。
　　28岁、在修车厂工作的男子苏菲扬秀出他和82岁妇人马莎的结婚照，证明他们真的结婚了。
　　苏菲扬谈到跟马莎相恋的过程，一开始，马莎拨错电话给苏菲扬，错阴错阳差聊了一个小时。两人从那时起经常打电话聊天，陷入爱河。
　　当时苏菲扬并不知道马莎的年纪，两人热线一段时间后，苏菲扬终于和马莎见面，当时他真的吓了一跳，因为马莎已是82岁的阿妈了。
　　不过，这并没有改变苏菲扬对马莎的爱意，两人最终决定互许终身，并于上周举行婚礼。
　　一开始，苏菲扬的父母见到马莎时，还问对方“你的孙女要跟我的儿子结婚吗，她在哪里？”马莎向苏菲扬的父母解释她就是苏菲扬要娶的女子。
　　苏菲扬的父母起初反对这桩婚事，但在苏菲扬和马莎的坚持下，双方家人还是接纳了。
　　马莎已经丧偶十年，她的两个小孩都在国外工作，这让苏菲扬更坚定要承担起照顾她的责任，迎娶她过门。
责任编辑：吴颜",201702231337
"中新网2月23日电 据外媒报道，印度一位名叫阿比什•多米尼克的机械工人徒手砸开了124个椰子，创造了新的世界纪录。
　　据报道，这位男子成功创造纪录的过程被视频拍摄记录了下来。
　　在视频中可以看到，男子徒手将每个椰子各砸一次，虽然并不是他砸过的所有椰子都被砸开，但他成功地打破了此前由德国人穆罕默德•卡赫里玛诺维奇创造的记录，比他多砸开了6个椰子。

　　25岁的阿比什•多米尼克还曾尝试过其他种类的“冒险”特技 — 其中包括徒手折断曲棍球棒和砸破头盔。
　　此外，他还曾经成功使用牙齿将公共汽车拖动50米。
责任编辑：吴颜",201702230827
"本报讯 （记者 李晟）一份只有10道题的面试考卷，没有一个求职者答对。试卷在朋友圈不停被转发，它到底有多难？国学、茶道、养生、诗词、佛学全部涵盖。昨天，出题的重庆某公司项目负责人说，出这套试题的目的，一是考察求职者的综合素养，同时也是在面试中观察求职者在面对难题时的态度。
　　求职者
　　允许上网查，但有些题找不到答案
　　回忆起刚看到试卷的那一刻，求职者吴林（化名）说仿佛“五雷轰顶”。“一眼瞄下去，有些简直听都没听说过。”
　　吴林说，有几道题倒比较简单，“公司没有禁止我们上网查询答案，所以这些问题还能应付。”
　　可是一道关于佛学的阅读理解题和一道全英文考题，就彻底让吴林蒙圈了。“我看了看考场上大家的反应，几乎没人奋笔疾书，都在按手机。”
　　吴林说，依靠网络搜索，她用了20多分钟答完了单选题和两道简答题，面对剩下三道连百度都找不到答案的题目，她自言“耗尽了洪荒之力”也没能写出一个字。
　　留下来答题的，态度已经赢得认可
　　不少求职者在面试结束后，将试卷拍照发到了朋友圈。这些试题的难度，也迅速引发了大家的热议。
　　出题公司项目负责人说，出这样的考题其实关键并不是想考退求职者或炒作，“把试卷放在面试环节，其实只是想通过观察求职者答题的态度，了解他们对待难题和这份工作的态度。但公司也不否认希望通过这份试卷，找到综合素质比较高的求职者。”
　　该负责人说，有一部分人的简介、资历都不错，甚至在销售行业曾取得了非常好的业绩，但在看到这份试卷后扭头离开了，“这样的求职者，正是我们希望通过试卷的难度直接淘汰的。如果因为过去的成绩而觉得自己不再需要进一步学习了，我们认为这样的职场人士，是无法在自己的职业生涯中不断进步的。”
　　但更多的求职者留了下来，这位负责人说，据他们粗略统计，现场尝试答题的有超过500位求职者，“他们用各种方式求助，我们没有制止，因为他们的态度已经赢得了公司的认可。”
　　那么到底有多少求职者完整并正确地回答了这份试卷呢？该负责人说，很遗憾，没有。
　　营销类岗位趣味知识测评
　　一、单择题
　　1。公务接待中双排座轿车应让客户坐在：
　　A、副驾驶位置 B、司机后排对角线位置
　　C、司机身后后排位置 D、后排中间座位
　　2。“生旦净末丑”是京剧的行当，其中“净”是：
　　A、男角 B、女角 C、武生 D、花脸
　　3。《红楼梦》的作者曹雪芹是家喻户晓的文学家，“雪芹”是他的：
　　A、名 B、字 C、号
　　4。以下哪种食物不宜空腹食用？
　　A、西红柿 B、糕点 C、苹果 D、鸡汤
　　5。以下哪种葡萄酒的档次最高？
　　A、AOC B、VDQS C、VINS DE PAYS D、VINS DE TABLE
　　二、简答题
　　1。中国共有六大茶类，请问是哪六大类？铁观音属于其中哪一种茶类？
　　2。南怀瑾说佛经开头各有不同，但以《金刚经》最为特别，以下是其开头《法会因由分》，请阅读理解，并谈谈你的看法。 如是我闻。一时佛在舍卫国。祗树给孤独园。与大比丘众。千二百五十人俱。尔时世尊。食时。著衣持钵。入舍卫大城乞食。于其城中。次第乞已。还至本处。饭食讫。收衣钵。洗足已。敷座而坐。
　　3。如果用一句诗词来表达你的人生观，你会选择以下哪一句？为什么？
　　A、人似秋鸿来有信，事如春梦了无痕。
　　B、会挽雕弓如满月，西北望，射天狼。
　　C、竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。
　　D、人生到处知何似，应似飞鸿踏雪泥。
　　E、当时项羽年最少，提剑本是耕田夫。
　　F、——————————（自选其他）
　　4.In a survey of 63 people，23 people subscribed to magazine A，21 people subscribed to magazine B，and 17 subscribed to magazine C.For any two of the magazines，4 people subscribed to both magazines but not to the third magazine.If 5 people in the survey did not subscribe to any of three magazines，how many people subscribed to all three magazines？
　　5.If you had to live your life over again，what would you change？
责任编辑：倪子牮",201702260511
"陈女士生下的三胞胎　杨添龙　摄
　　中新网宜昌3月1日电 （时刚 杨添龙）“不孕时梦想着要个孩子，现在一下有三个却让我不知道怎么办好。”2月28日，在湖北宜昌市第一人民医院生下三胞胎的陈女士说道。陈女士一周内两次自然分娩，生下儿子6天后又生下双胞胎女儿。
　　陈女士介绍，她2012年与丈夫结婚后便一直想要个孩子，但一直未能如愿。2016年8月，陈女士在武汉求医后终于怀孕了，全家人都很高兴，虽然孕检发现是三胞胎，但是好不容易能怀上宝宝的陈女士也没多想。
　　今年2月21日上午，孕30周多的陈女士突然感觉不适，前往宜昌市第一人民医院妇产科求医，被诊断为羊水早破，当即被送往产房待产。当天中午14时许，陈女士自然分娩下一名重1.44公斤的男婴。
　　生下男婴后，陈女士宫缩停止，此时其宫内还有两个胎儿暂未娩出。考虑到孕期短，胎儿发育不良，产科主任陈爱华决定延期分娩，让剩下的两名婴儿继续妊娠。27日晚10时许，陈女士又自然分娩下一对双胞胎女婴。
　　“从医20多年，间隔6天两次分娩我还是第一次遇到。”陈爱华解释说，陈女士怀的是双卵三胞胎，这三个胎儿就像住在两个“房间”，哥哥住在一个“房间”，两个妹妹同住在另一个“房间”，互不干扰。
　　目前，由于早产、体重极低，三个宝宝还面临着重重难关，正在新生儿监护室接受治疗。陈女士希望有好心人能帮帮他们，让孩子们能健康成长。（完）
责任编辑：向昌明 SN123",201703011207
